date,number_commits
2014-10-28T02:14:23Z,1
2014-10-28T17:38:21Z,1
2014-10-29T01:00:16Z,1
2014-10-29T06:17:30Z,1
2014-10-29T08:09:05Z,1
2014-10-29T11:41:54Z,1
2014-10-29T18:31:25Z,1
2014-10-29T18:47:29Z,1
2014-10-29T19:07:21Z,1
2014-10-29T19:32:24Z,1
2014-10-29T19:43:21Z,1
2014-10-29T19:54:04Z,1
2014-10-29T19:55:03Z,1
2014-10-29T20:59:26Z,1
2014-10-29T21:22:00Z,1
2014-10-30T00:30:41Z,1
2014-10-30T17:43:42Z,1
2014-10-30T17:53:43Z,1
2014-10-30T17:56:39Z,1
2014-10-30T17:56:46Z,1
2014-10-30T18:06:45Z,1
2014-10-30T23:26:16Z,1
2014-10-31T01:23:35Z,1
2014-10-31T04:16:36Z,1
2014-10-31T05:35:37Z,1
2014-10-31T16:59:34Z,1
2014-10-31T17:01:58Z,1
2014-10-31T17:30:27Z,1
2014-10-31T17:54:33Z,1
2014-10-31T18:07:55Z,1
2014-10-31T19:03:04Z,1
2014-10-31T19:52:15Z,1
2014-10-31T19:52:53Z,1
2014-10-31T20:10:09Z,1
2014-10-31T20:13:19Z,1
2014-10-31T20:30:23Z,1
2014-10-31T21:37:34Z,1
2014-10-31T21:49:07Z,1
2014-10-31T22:44:09Z,1
2014-10-31T23:25:36Z,1
2014-10-31T23:25:52Z,1
2014-10-31T23:54:20Z,1
2014-11-01T00:04:19Z,1
2014-11-03T17:25:39Z,1
2014-11-03T19:57:52Z,1
2014-11-03T19:59:04Z,1
2014-11-04T00:36:53Z,1
2014-11-04T04:53:55Z,1
2014-11-04T05:11:49Z,2
2014-11-04T05:12:13Z,1
2014-11-04T18:08:50Z,1
2014-11-04T18:18:27Z,1
2014-11-04T18:18:57Z,1
2014-11-04T19:04:23Z,1
2014-11-04T19:09:13Z,1
2014-11-04T21:53:23Z,1
2014-11-04T22:35:39Z,1
2014-11-04T23:03:13Z,1
2014-11-05T01:04:40Z,1
2014-11-05T02:43:55Z,1
2014-11-06T01:19:37Z,1
2014-11-06T18:23:24Z,1
2014-11-06T19:01:31Z,1
2014-11-06T19:15:53Z,1
2014-11-06T19:18:30Z,1
2014-11-06T19:21:36Z,1
2014-11-06T22:43:20Z,1
