id,created_at,closed_at
1278349315,2023-03-16T10:48:48Z,2023-04-12T11:06:00Z
1276640990,2023-03-15T10:59:59Z,2023-03-15T12:12:48Z
1275238085,2023-03-14T15:15:53Z,2023-03-14T15:42:10Z
1274042320,2023-03-13T22:09:01Z,2023-03-14T15:05:25Z
1272238147,2023-03-12T06:35:16Z,2023-03-13T09:08:45Z
1272159853,2023-03-11T21:29:11Z,2023-03-11T21:49:58Z
1272151188,2023-03-11T20:41:29Z,2023-03-13T00:17:09Z
1272044666,2023-03-11T13:20:49Z,2023-03-11T19:13:03Z
1271512227,2023-03-10T17:52:02Z,2023-06-12T18:36:33Z
1271089484,2023-03-10T12:20:52Z,2023-03-13T00:15:52Z
1270762369,2023-03-10T07:54:26Z,
1270502508,2023-03-10T01:24:03Z,2023-03-10T12:25:13Z
1268146460,2023-03-08T16:41:56Z,2023-03-11T19:24:25Z
1267490372,2023-03-08T08:13:59Z,2023-03-09T15:26:59Z
1267057464,2023-03-07T22:49:17Z,2023-03-11T15:24:56Z
1267056419,2023-03-07T22:47:56Z,2023-03-09T15:28:10Z
1267017349,2023-03-07T22:09:54Z,2023-03-09T05:24:50Z
1266836129,2023-03-07T19:39:40Z,2023-09-19T14:27:55Z
1266576150,2023-03-07T16:26:18Z,2023-03-08T08:04:35Z
1266570202,2023-03-07T16:21:48Z,2023-03-08T08:04:11Z
1266488198,2023-03-07T15:28:36Z,2023-03-08T08:03:34Z
1266139261,2023-03-07T12:00:27Z,2023-03-11T19:24:13Z
1264137532,2023-03-06T09:51:22Z,2023-03-06T10:17:57Z
1263402974,2023-03-05T12:55:07Z,
1263254921,2023-03-05T00:43:42Z,2023-03-05T12:43:43Z
1263101515,2023-03-04T14:37:39Z,2023-03-08T00:11:30Z
1263093156,2023-03-04T14:06:44Z,2023-03-07T15:44:46Z
1261588557,2023-03-03T07:20:56Z,2023-03-03T07:52:41Z
1261003813,2023-03-02T20:13:25Z,2023-03-03T07:52:59Z
1260713999,2023-03-02T16:13:06Z,2023-03-03T17:05:42Z
1260629011,2023-03-02T15:18:02Z,2023-03-03T17:07:10Z
1260585212,2023-03-02T14:51:17Z,2023-03-03T17:08:12Z
1260155281,2023-03-02T09:43:37Z,2023-03-02T10:17:48Z
1259318290,2023-03-01T19:16:59Z,2023-03-06T09:42:55Z
1259155489,2023-03-01T17:03:41Z,2023-03-02T08:19:54Z
1259139978,2023-03-01T16:55:19Z,2023-03-09T20:15:24Z
1258754196,2023-03-01T12:35:07Z,2023-03-01T12:51:51Z
