timestamp,project,code|design-debt,requirement-debt,documentation-debt,test-debt
1576154440,flink,0,1,0,0
1576154964,flink,0,1,0,0
1576241800,flink,1,0,0,0
1576529923,flink,2,0,0,0
1576583569,flink,2,0,0,0
1576584834,flink,2,0,0,0
1576659087,flink,0,0,0,0
1576662007,flink,0,0,0,0
1576675350,flink,1,0,0,0
1576675467,flink,1,0,0,0
1576678551,flink,1,0,0,0
1576678657,flink,1,0,0,0
1576773443,flink,0,0,0,0
1576773933,flink,0,0,0,0
1576824746,flink,1,0,0,0
1576825180,flink,1,0,0,0
1577334416,flink,1,0,0,0
1577334593,flink,1,0,0,0
1577940183,flink,1,0,0,0
1577940398,flink,1,0,0,0
1577969608,flink,-1,0,0,0
1577969715,flink,-1,0,0,0
1578068264,flink,1,0,0,0
1578187024,flink,0,-1,0,0
1578264540,flink,1,0,0,0
1578363565,flink,-1,0,0,0
1578549455,flink,5,0,0,2
1578549505,flink,2,0,0,0
1578549656,flink,5,0,0,2
1578549666,flink,2,0,0,0
1578572823,flink,0,-1,0,0
1578644500,flink,2,0,0,0
1578887260,flink,1,1,0,0
1578897310,flink,1,1,0,0
1578923155,flink,-12,0,0,0
1579144750,flink,0,0,0,0
1579166145,flink,0,0,0,1
1579166211,flink,0,0,0,1
1579186828,flink,0,0,0,0
1579187569,flink,0,0,0,0
1579271692,flink,2,0,0,0
1579271731,flink,2,0,0,0
1579575112,flink,-1,0,0,0
1579575177,flink,-1,0,0,0
1579681327,flink,2,0,0,0
1579681328,flink,1,0,0,0
1579783662,flink,1,0,0,0
1580286922,flink,0,0,1,0
1580286994,flink,0,0,1,0
1580305882,flink,-1,2,0,0
1581042236,flink,9,3,0,1
1581042458,flink,9,3,0,1
1581389049,flink,-2,0,0,0
1581438745,flink,-3,0,0,0
1581495894,flink,3,1,0,0
1581583284,flink,0,-1,0,0
1581599267,flink,2,0,0,0
1581667662,flink,0,0,0,0
1581669761,flink,-3,0,0,0
1581746833,flink,0,1,0,0
1581927380,flink,0,1,0,0
1582008881,flink,-1,0,0,0
