timestamp,project,commits_per_14days
2014-11-26,flink,70
2014-12-10,flink,113
2014-12-24,flink,77
2015-01-07,flink,105
2015-01-21,flink,85
2015-02-04,flink,249
2015-02-18,flink,108
2015-03-04,flink,102
2015-03-18,flink,123
2015-04-01,flink,111
2015-04-15,flink,69
2015-04-29,flink,74
2015-05-13,flink,98
2015-05-27,flink,129
2015-06-10,flink,107
2015-06-24,flink,57
2015-07-08,flink,72
2015-07-22,flink,87
2015-08-05,flink,74
2015-08-19,flink,98
2015-09-02,flink,73
2015-09-16,flink,140
2015-09-30,flink,94
2015-10-14,flink,134
2015-10-28,flink,102
2015-11-11,flink,129
2015-11-25,flink,74
2015-12-09,flink,39
2015-12-23,flink,25
2016-01-06,flink,76
2016-01-20,flink,91
2016-02-03,flink,119
2016-02-17,flink,159
2016-03-02,flink,90
2016-03-16,flink,96
2016-03-30,flink,98
2016-04-13,flink,80
2016-04-27,flink,58
2016-05-11,flink,54
2016-05-25,flink,58
2016-06-08,flink,76
2016-06-22,flink,100
2016-07-06,flink,89
2016-07-20,flink,84
2016-08-03,flink,68
2016-08-17,flink,102
2016-08-31,flink,47
2016-09-14,flink,75
2016-09-28,flink,82
2016-10-12,flink,86
2016-10-26,flink,115
2016-11-09,flink,84
2016-11-23,flink,131
2016-12-07,flink,139
2016-12-21,flink,113
2017-01-04,flink,183
2017-01-18,flink,296
2017-02-01,flink,95
2017-02-15,flink,161
2017-03-01,flink,97
2017-03-15,flink,142
2017-03-29,flink,82
2017-04-12,flink,77
2017-04-26,flink,193
2017-05-10,flink,292
2017-05-24,flink,138
2017-06-07,flink,127
2017-06-21,flink,137
2017-07-05,flink,116
2017-07-19,flink,161
2017-08-02,flink,108
2017-08-16,flink,53
2017-08-30,flink,46
2017-09-13,flink,88
2017-09-27,flink,133
2017-10-11,flink,143
2017-10-25,flink,174
2017-11-08,flink,188
2017-11-22,flink,142
2017-12-06,flink,80
2017-12-20,flink,21
2018-01-03,flink,202
2018-01-17,flink,123
2018-01-31,flink,183
2018-02-14,flink,271
2018-02-28,flink,281
2018-03-14,flink,219
2018-03-28,flink,183
2018-04-11,flink,189
2018-04-25,flink,150
2018-05-09,flink,274
2018-05-23,flink,126
2018-06-06,flink,80
2018-06-20,flink,122
2018-07-04,flink,192
2018-07-18,flink,265
2018-08-01,flink,212
2018-08-15,flink,103
2018-08-29,flink,93
2018-09-12,flink,223
2018-09-26,flink,179
2018-10-10,flink,232
2018-10-24,flink,171
2018-11-07,flink,297
2018-11-21,flink,175
2018-12-05,flink,174
2018-12-19,flink,41
2019-01-02,flink,202
2019-01-16,flink,124
2019-01-30,flink,180
2019-02-13,flink,231
2019-02-27,flink,283
2019-03-13,flink,131
2019-03-27,flink,96
2019-04-10,flink,126
2019-04-24,flink,220
2019-05-08,flink,165
2019-05-22,flink,151
2019-06-05,flink,218
2019-06-19,flink,292
2019-07-03,flink,338
2019-07-17,flink,308
2019-07-31,flink,407
2019-08-14,flink,174
2019-08-28,flink,238
2019-09-11,flink,130
2019-09-25,flink,143
2019-10-09,flink,219
2019-10-23,flink,290
2019-11-06,flink,299
2019-11-20,flink,299
2019-12-04,flink,512
2019-12-18,flink,282
2020-01-01,flink,296
2020-01-15,flink,303
2020-01-29,flink,215
2020-02-12,flink,237
2020-02-26,flink,222
2020-03-11,flink,209
2020-03-25,flink,252
2020-04-08,flink,295
2020-04-22,flink,279
2020-05-06,flink,594
2020-05-20,flink,523
2020-06-03,flink,657
2020-06-17,flink,315
2020-07-01,flink,174
2020-07-15,flink,171
2020-07-29,flink,155
2020-08-12,flink,183
2020-08-26,flink,152
2020-09-09,flink,172
2020-09-23,flink,181
2020-10-07,flink,268
2020-10-21,flink,283
2020-11-04,flink,410
2020-11-18,flink,433
2020-12-02,flink,285
2020-12-16,flink,253
2020-12-30,flink,176
2021-01-13,flink,209
2021-01-27,flink,207
2021-02-10,flink,210
2021-02-24,flink,237
2021-03-10,flink,289
2021-03-24,flink,271
2021-04-07,flink,332
2021-04-21,flink,284
2021-05-05,flink,224
2021-05-19,flink,123
2021-06-02,flink,172
2021-06-16,flink,251
2021-06-30,flink,242
2021-07-14,flink,233
2021-07-28,flink,230
2021-08-11,flink,312
2021-08-25,flink,468
2021-09-08,flink,282
2021-09-22,flink,139
2021-10-06,flink,161
2021-10-20,flink,141
2021-11-03,flink,199
2021-11-17,flink,165
2021-12-01,flink,243
2021-12-15,flink,107
2021-12-29,flink,161
2022-01-12,flink,229
2022-01-26,flink,315
2022-02-09,flink,292
2022-02-23,flink,176
2022-03-09,flink,358
2022-03-23,flink,232
2022-04-06,flink,208
2022-04-20,flink,140
2022-05-04,flink,151
2022-05-18,flink,92
2022-06-01,flink,101
2022-06-15,flink,117
2022-06-29,flink,153
