date,open_issues 
1639108482.0,1453
1639108611.0,1454
1639111048.0,1455
1639125303.0,1456
1639129231.0,1455
1639129546.0,1454
1639130266.0,1453
1639152653.0,1452
1639158037.0,1451
1639158900.0,1452
1639197110.0,1451
1639207249.0,1450
1639209891.0,1451
1639279523.0,1452
1639341999.0,1453
1639374663.0,1452
1639376605.0,1453
1639383040.0,1454
1639385931.0,1455
1639451616.0,1456
1639453159.0,1457
1639456786.0,1458
1639458794.0,1457
1639475463.0,1456
1639475507.0,1457
1639477551.0,1458
1639481492.0,1457
1639481937.0,1458
1639482538.0,1459
1639483302.0,1460
1639486448.0,1459
1639488324.0,1460
1639492786.0,1461
1639493766.0,1460
1639496911.0,1461
1639502153.0,1462
1639503940.0,1461
1639503989.0,1460
1639503999.0,1459
1639504858.0,1460
1639505647.0,1461
1639509346.0,1462
1639509703.0,1461
1639515121.0,1462
1639534811.0,1463
1639550393.0,1464
1639555480.0,1463
1639558032.0,1464
1639563680.0,1465
1639570084.0,1466
1639574980.0,1467
1639578889.0,1468
1639594326.0,1469
1639619725.0,1470
1639643266.0,1471
1639643390.0,1470
1639644451.0,1469
1639644557.0,1470
1639652365.0,1471
1639658891.0,1472
1639658900.0,1473
1639665868.0,1472
1639679286.0,1471
1639716846.0,1472
1639733991.0,1473
1639751153.0,1474
1639984728.0,1473
1639992091.0,1474
1639992405.0,1475
1639994246.0,1476
1639999458.0,1477
1640007584.0,1478
1640020120.0,1479
1640055585.0,1478
1640057102.0,1479
1640072381.0,1480
1640074322.0,1481
1640079420.0,1482
1640086015.0,1483
1640116693.0,1484
1640117411.0,1483
1640138099.0,1482
1640138522.0,1483
1640145527.0,1484
1640169845.0,1485
1640170079.0,1486
1640188458.0,1487
1640248115.0,1488
1640255541.0,1489
1640261633.0,1490
1640262244.0,1491
1640277991.0,1490
1640314421.0,1491
1640315781.0,1492
1640328536.0,1491
1640333437.0,1492
1640334492.0,1493
1640335111.0,1494
1640336646.0,1495
1640341835.0,1496
1640410535.0,1497
1640434445.0,1498
1640434470.0,1497
1640575432.0,1496
1640576367.0,1497
1640584800.0,1498
1640596372.0,1499
1640600581.0,1500
1640604621.0,1501
1640605899.0,1502
1640611346.0,1503
1640658594.0,1504
1640689603.0,1503
1640691182.0,1502
1640723280.0,1503
1640741860.0,1502
1640744426.0,1503
1640748356.0,1504
1640764665.0,1505
1640768259.0,1504
1640769278.0,1505
1640769490.0,1504
1640779148.0,1505
1640779149.0,1506
1640780901.0,1505
1640829956.0,1506
1640831506.0,1507
1640831866.0,1506
1640832578.0,1507
1640849870.0,1508
1640862657.0,1509
1640916319.0,1510
1640919793.0,1511
1640920792.0,1512
1640925297.0,1513
1640931698.0,1514
1640931757.0,1515
1640932495.0,1514
1640952127.0,1515
1641261467.0,1516
1641264295.0,1515
1641305962.0,1516
1641306993.0,1517
1641317530.0,1516
1641372039.0,1517
1641374106.0,1518
1641384658.0,1519
1641384833.0,1520
1641395171.0,1521
1641411617.0,1522
1641425716.0,1521
1641426067.0,1522
1641437718.0,1523
1641438653.0,1524
1641443997.0,1525
1641450118.0,1526
1641454026.0,1527
1641455813.0,1528
